Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
2.792,2.126,1.672,54.425,0.911,2.211,2316,354,60.751,1.775,1.271,0.787,0.954
0.976,1.471,0.845,82.934,0.843,1.516,2379,347,75.256,0.849,1.74,0.575,0.929
0.822,1.087,0.962,169.946,0.861,1.178,2439,340,31.608,1.07,1.13,0.885,0.887
1.536,1.56,1.254,95.887,0.939,1.65,2507,328,100.784,1.235,1.244,0.804,0.945
1.054,1.372,0.978,0.815,0.901,1.423,2561,337,12.529,1.003,1.402,0.713,0.924
1.864,1.936,1.226,148.33,0.876,2.012,2621,331,147.529,1.309,1.58,0.633,0.94
1.346,1.548,1.107,132.456,0.863,1.657,2689,328,117.759,1.198,1.399,0.715,0.93
1.715,2.009,1.086,23.735,0.792,2.078,2744,342,21.801,1.173,1.85,0.541,0.923
1.465,1.654,1.128,22.301,0.86,1.763,2808,338,23.199,1.192,1.466,0.682,0.93
1.322,1.663,1.012,19.786,0.855,1.725,2871,342,26.565,1.07,1.644,0.608,0.931
1.727,1.914,1.149,160.428,0.812,1.952,2931,335,161.565,1.198,1.667,0.6,0.916
22.94,7.605,3.841,128.869,0.758,7.763,2972,331,127.326,3.905,1.98,0.505,0.975
1.066,1.44,0.942,9.757,0.861,1.516,3058,340,14.744,1.003,1.528,0.655,0.925
1.423,1.709,1.06,23.967,0.798,1.829,3119,344,27.646,1.139,1.612,0.62,0.917
0.893,1.193,0.953,42.439,0.936,1.266,3185,340,37.569,1.035,1.252,0.799,0.923
1.197,1.543,0.987,134.096,0.832,1.651,3247,329,127.405,1.08,1.563,0.64,0.91
0.976,1.473,0.844,32.007,0.826,1.553,3307,340,26.565,0.92,1.745,0.573,0.904
0.875,1.167,0.955,44.311,0.967,1.22,3372,341,34.695,0.982,1.223,0.818,0.93
2.173,1.993,1.389,108.876,0.86,2.123,3433,328,109.093,1.466,1.435,0.697,0.952
0.458,0.9,0.649,23.681,0.923,1.006,3559,337,32.471,0.694,1.387,0.721,0.922
1.596,1.708,1.19,46.086,0.845,1.868,3617,347,38.29,1.292,1.436,0.697,0.935
1.131,1.319,1.092,177.536,0.923,1.391,946,341,19.44,1.08,1.208,0.828,0.941
1.036,1.252,1.054,51.553,0.907,1.35,3498,344,59.036,1.091,1.188,0.842,0.921
1.459,1.412,1.315,125.704,0.854,1.651,1570,330,127.405,1.312,1.074,0.931,0.923
0.839,1.219,0.877,40.392,0.871,1.284,141,480,32.735,0.928,1.391,0.719,0.913
0.816,1.208,0.859,43.054,0.878,1.266,190,480,37.569,0.926,1.406,0.711,0.913
2.608,1.947,1.706,125.821,0.887,2.134,236,468,130.601,1.775,1.141,0.876,0.945
1.203,1.524,1.005,165.186,0.88,1.591,284,471,157.166,1.003,1.517,0.659,0.942
1.191,1.516,1,164.28,0.891,1.591,333,470,157.166,1.003,1.515,0.66,0.946
1.935,1.794,1.373,12.9,0.903,1.909,379,479,14.036,1.449,1.306,0.765,0.941
1.953,1.794,1.386,13.697,0.911,1.909,427,478,14.036,1.449,1.295,0.772,0.943
1.215,1.62,0.954,148.376,0.837,1.651,479,469,142.595,1.006,1.697,0.589,0.917
1.185,1.585,0.952,146.65,0.878,1.628,527,470,148.57,1.019,1.666,0.6,0.93
1.113,1.439,0.985,70.8,0.908,1.49,582,486,68.749,1.003,1.46,0.685,0.944
1.137,1.437,1.008,68.412,0.898,1.49,631,486,68.749,1.067,1.426,0.701,0.934
1.131,1.392,1.034,53.897,0.914,1.456,675,484,57.995,1.091,1.346,0.743,0.936
1.899,1.696,1.426,87.082,0.932,1.781,726,468,107.65,1.466,1.189,0.841,0.944
1.911,1.694,1.437,84.929,0.937,1.76,775,468,105.255,1.466,1.179,0.848,0.944
10.205,4.117,3.156,101.866,0.863,4.286,813,468,103.536,3.241,1.305,0.766,0.971
0.792,1.1,0.916,117.23,0.957,1.22,870,468,124.695,0.926,1.201,0.833,0.947
3.155,2.494,1.611,121.066,0.858,2.579,913,469,128.928,1.656,1.548,0.646,0.95
2.751,2.564,1.366,25.873,0.74,2.665,956,488,22.109,1.449,1.876,0.533,0.929
2.721,2.553,1.357,25.886,0.771,2.657,1005,489,25.821,1.415,1.881,0.532,0.936
1.691,1.719,1.253,160.97,0.829,1.76,1058,476,164.745,1.327,1.372,0.729,0.921
1.441,1.593,1.152,99.159,0.932,1.662,1113,468,111.801,1.157,1.383,0.723,0.947
1.5,1.476,1.294,116.787,0.871,1.651,1160,468,127.405,1.312,1.141,0.877,0.944
1.506,1.479,1.296,118.751,0.936,1.606,1208,469,125.218,1.312,1.141,0.876,0.949
1.298,1.649,1.002,54.125,0.771,1.713,1255,488,54.162,1.146,1.646,0.607,0.903
1.286,1.638,1,53.249,0.749,1.749,1303,488,48.576,1.13,1.638,0.611,0.902
0.685,1.088,0.802,37.976,0.876,1.205,1353,479,39.806,0.863,1.357,0.737,0.916
0.661,1.054,0.798,41.876,0.881,1.2,1402,479,45,0.873,1.321,0.757,0.917
1.28,1.405,1.16,143.995,0.889,1.498,1449,471,145.491,1.247,1.212,0.825,0.927
1.286,1.392,1.176,146.255,0.867,1.464,1496,474,161.565,1.281,1.184,0.845,0.913
1.191,1.325,1.145,82.167,0.94,1.391,1548,468,109.44,1.157,1.157,0.864,0.941
5.781,3.07,2.397,38.796,0.9,3.148,1588,502,53.973,2.455,1.281,0.781,0.964
1.322,1.587,1.06,148.863,0.855,1.699,1642,469,140.528,1.139,1.497,0.668,0.923
1.197,1.716,0.888,130.758,0.777,1.76,1690,471,142.125,0.928,1.933,0.517,0.91
1.744,1.764,1.259,53.721,0.832,1.976,1740,488,51.34,1.364,1.401,0.714,0.929
1.75,1.77,1.259,52.252,0.781,2.019,1787,487,46.548,1.364,1.406,0.711,0.919
1.703,1.803,1.203,35.074,0.809,1.841,1834,485,33.024,1.25,1.499,0.667,0.918
